taxon,genus,endemism_category,esa_status,nv_state_status,blm_status,usfs_status,natureserve_grank,book_thematic_category,notes,physiographic_region,physiographic_section
Pinus longaeva,Pinus,listed,,"Protected (cactus, yucca, or Christmas tree)",,,G4,,NDNH endemism status: Not Evaluated; Common name: ancient bristlecone pine,,
Scopulophila rixfordii,Scopulophila,listed,,,,,G3,,Common name: Rixford rockwort,,
Ivesia arizonica var. arizonica,Ivesia,listed,,,,,G3,,Common name: yellow purpusia,,
Potentilla millefolia,Potentilla,listed,,,,,G5,,Common name: Feather Cinquefoil,,
Eriogonum heermannii var. floccosum,Eriogonum,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: Clark Mountain buckwheat,,
Eryngium alismifolium,Eryngium,listed,,,,,G4,,Common name: Modoc Eryngo,,
Centaurea stoebe ssp. micranthos,Centaurea,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: spotted knapweed,,
Muilla coronata,Muilla,listed,,,,,G3,,Common name: pygmy muilla,,
Elatine brachysperma,Elatine,listed,,,,,G5,,Common name: Short-seed waterwort,,
Potentilla crinita,Potentilla,listed,,,,,G3,,Common name: bearded cinquefoil,,
Yucca elata var. utahensis,Yucca,listed,,,,,G5,,Common name: Utah yucca,,
Angelica lineariloba,Angelica,listed,,,,,G4,,Common name: soda straw,,
Sabulina macrantha var. filiorum,Sabulina,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: bigflower sandwort,,
Sphaerophysa salsula,Sphaerophysa,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: austrian fieldcress,,
Chylismia scapoidea var. utahensis,Chylismia,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: Utah suncup,,
Tetrapteron palmeri,Tetrapteron,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Palmer evening primrose,,
Malacothrix stebbinsii,Malacothrix,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Stebbins desertdandelion,,
Cuscuta salina,Cuscuta,listed,,,,,G5,,Common name: Inland salt-marsh dodder,,
Solanum elaeagnifolium,Solanum,listed,,,,,G4,,Common name: white horsenettle,,
Mammillaria tetrancistra,Mammillaria,listed,,,,,G3,,Common name: Common fishhook cactus,,
Psathyrotes pilifera,Psathyrotes,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: hairybeast turtleback,,
Astragalus ceramicus var. ceramicus,Astragalus,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: painted milkvetch,,
Eriogonum latens,Eriogonum,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Inyo buckwheat,,
Cardaria draba,Cardaria,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: hoary cress,,
Artemisia tridentata ssp. wyomingensis,Artemisia,listed,,Nevada State Emblem,,,G5,,NDNH endemism status: Not Evaluated,,
Potentilla brevifolia,Potentilla,listed,,,,,G4,,Common name: Shortleaf Cinquefoil,,
Erigeron pygmaeus,Erigeron,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: pygmy fleabane,,
Hulsea heterochroma,Hulsea,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: redray alpinegold,,
Gymnosteris nudicaulis,Gymnosteris,listed,,,,,G4,,Common name: starcup,,
Castilleja arachnoidea,Castilleja,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: cobwebby paintbrush,,
Lupinus obtusilobus,Lupinus,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: blunt-lobe lupine,,
Laphamia stansburyi,Laphamia,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Stansburys rockdaisy,,
Oryzopsis hymenoides,Oryzopsis,listed,,Nevada State Emblem,,,G5,,NDNH endemism status: Not Evaluated; Common name: Indian ricegrass,,
Carduus nutans,Carduus,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: musk thistle,,
Clarkia lassenensis,Clarkia,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: Mt. Lassen clarkia,,
Claytonia megarhiza,Claytonia,listed,,,,,G5,,Common name: Fell-fields claytonia,,
Cryptantha pterocarya var. stenoloba,Cryptantha,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: narrowlobe cryptantha,,
Boechera inyoensis,Boechera,listed,,,,,G3,,Common name: Inyo Rockcress,,
Aquilegia coerulea,Aquilegia,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: Colorado columbine,,
Tetracoccus hallii,Tetracoccus,listed,,,,,G4,,Common name: Chuckwalla bushspurge,,
Dalea lanata var. terminalis,Dalea,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: wooly prairie-clover,,
Linanthus arenicola,Linanthus,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: dune linanthus,,
Brickellia knappiana,Brickellia,listed,,,,,G2,,NDNH endemism status: Not Evaluated; Common name: Knapp brickellbush,,
Gentiana newberryi var. tiogana,Gentiana,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: Tioga gentian,,
Hackelia ophiobia,Hackelia,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: rattlesnake stickseed,,
Datisca glomerata,Datisca,listed,,,,,G3,,Common name: Durango Root,,
Hackelia cusickii,Hackelia,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: Cusick stickseed,,
Allium punctum,Allium,listed,,,,,G3,,Common name: Dotted Onion,,
Cryptantha muricata var. jonesii,Cryptantha,listed,,,,,G3,,Common name: Pointed Cats-eye,,
Cylindropuntia acanthocarpa var. coloradensis,Cylindropuntia,listed,,,,,G4,,Common name: Colorado Buckhorn Cholla,,
Silene pectinata,Silene,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: fringed catchfly,,
Cicuta maculata,Cicuta,listed,,,,,G5,,Common name: water hemlock,,
Frasera albicaulis var. modocensis,Frasera,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: purple green gentian,,
Erigeron nauseosus,Erigeron,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: Marysvale fleabane,,
Erigeron algidus,Erigeron,listed,,,,,G2,,NDNH endemism status: Not Evaluated; Common name: Stalked fleabane,,
Opuntia engelmannii var. engelmannii,Opuntia,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: Engelmanns Pricklypear,,
Penstemon petiolatus,Penstemon,listed,,,,,G2,,NDNH endemism status: Not Evaluated; Common name: limestone penstemon,,
Echinocactus polycephalus var. xeranthemoides,Echinocactus,listed,,,,,G3,,Common name: Manyhead barrel cactus,,
Isatis tinctoria,Isatis,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: dyers woad,,
Halimolobos jaegeri,Halimolobos,listed,,,,,G3,,Common name: rock mustard,,
Physaria kingii ssp. cobrensis,Physaria,listed,,,,,G5,,Common name: Kings bladderpod,,
Artemisia tridentata,Artemisia,listed,,Nevada State Emblem,,,G5,,NDNH endemism status: Not Evaluated,,
Boechera glaucovalvula,Boechera,listed,,,,,G3,,Common name: Bluepod Rockcress,,
Phlox gladiformis,Phlox,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: daggerleaf phlox,,
Ivesia sabulosa,Ivesia,listed,,,,,G3,,Common name: Intermountain Ivesia,,
Phlox kelseyi ssp. salina,Phlox,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: marsh phlox,,
Trifolium andersonii ssp. monoense,Trifolium,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: Mono clover,,
Viola utahensis,Viola,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: Utah violet,,
Brassica tournefortii,Brassica,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: Sahara mustard,,
Kochia californica,Kochia,listed,,,,,G3,,Common name: rusty Molly,,
Echinocereus engelmannii var. armatus,Echinocereus,listed,,"Protected (cactus, yucca, or Christmas tree)",,,G5,,Common name: armored hedgehog cactus,,
Hypericum perforatum,Hypericum,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: Klamath weed,,
Agave utahensis var. utahensis,Agave,listed,,,,,G4,,Common name: Utah agave,,
Senecio amplectens,Senecio,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: showy alpine groundsel,,
Galium munzii,Galium,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: Munz bedstraw,,
Phacelia laxiflora,Phacelia,listed,,,,,G2,,NDNH endemism status: Not Evaluated; Common name: nodding scorpionflower,,
Juncus cooperi,Juncus,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: Cooper rush,,
Primula cusickiana var. cusickiana,Primula,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: Wallowa primrose,,
Salvia pachyphylla,Salvia,listed,,,,,G4,,Common name: thickleaf sage,,
Mentzelia puberula,Mentzelia,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: rough-stem stickleaf,,
Eriophyllum ambiguum,Eriophyllum,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: annual woolly sunflower,,
Erigeron aphanactis var. congestus,Erigeron,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: clustered fleabane,,
Boechera dispar,Boechera,listed,,,,,G3,,Common name: pinyon rockcress,,
Opuntia x curvispina,Opuntia,listed,,"Protected (cactus, yucca, or Christmas tree)",,,G3,,Common name: Searchlight pricklypear,,
Cleomella obtusifolia,Cleomella,listed,,,,,G3,,Common name: Mojave cleomella,,
Phacelia calthifolia,Phacelia,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: calthaleaf phacelia,,
Erigeron concinnus var. condensatus,Erigeron,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: clustered Navajo fleabane,,
Calochortus eurycarpus,Calochortus,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: big-pod mariposa lily,,
Sonchus arvensis,Sonchus,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: sow thistle,,
Juncus uncialis,Juncus,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: inch-high rush,,
Coryphantha chlorantha,Coryphantha,listed,,"Protected (cactus, yucca, or Christmas tree)",,,G3,,Common name: desert pincushion,,
Ericameria parryi var. monocephala,Ericameria,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: Parrys rabbitbrush,,
Mentzelia torreyi var. torreyi,Mentzelia,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: Torreys stickleaf,,
Arnica amplexicaulis,Arnica,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: clasping arnica,,
Centaurea melitensis,Centaurea,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: malta star thistle,,
Allium geyeri var. geyeri,Allium,listed,,,,,G4,,Common name: Geyers Onion,,
Lomatium graveolens var. alpinum,Lomatium,endemic,,,,,G5,,Common name: alpine stinking lomatium,,
Eriogonum rixfordii,Eriogonum,listed,,,,,G2,,NDNH endemism status: Not Evaluated; Common name: pagoda buckwheat,,
Gilia salticola,Gilia,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: salt gily-flower,,
Atriplex serenana,Atriplex,listed,,,,,G5,,Common name: Stinking orach,,
Psorothamnus fremontii var. attenuatus,Psorothamnus,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: Fremont dalea,,
Oreocarya tumulosa,Oreocarya,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: New York Mountains catseye,,
Eragrostis lutescens,Eragrostis,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: six-weeks lovegrass,,
Ericameria nauseosa var. turbinata,Ericameria,listed,,,,,G5,,Common name: Rubber Rabbitbrush,,
Crataegus rivularis,Crataegus,listed,,,,,G5,,Common name: River Hawthorn,,
Castilleja peckiana,Castilleja,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Pecks paintbrush,,
Pyrrocoma lanceolata var. subviscosa,Pyrrocoma,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: sticky intermountain pyrrocoma,,
Boechera suffrutescens,Boechera,listed,,,,,G3,,Common name: Woody Rockcress,,
Bacopa eisenii,Bacopa,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Gila River water-hyssop,,
Eriogonum saxatile,Eriogonum,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: hoary buckwheat,,
Gentianopsis holopetala,Gentianopsis,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: Sierra fringed gentian,,
Echinodorus berteroi,Echinodorus,listed,,,,,G5,,Common name: upright burhead,,
Zygophyllum fabago,Zygophyllum,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: syrian bean caper,,
Ribes niveum,Ribes,listed,,,,,G3,,Common name: Snowy Gooseberry,,
Tribulus terrestris,Tribulus,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: goatheads,,
Carex viridula ssp. viridula,Carex,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: little green sedge,,
Astragalus tephrodes var. brachylobus,Astragalus,listed,,,,,G5,,Common name: Prescott milkvetch,,
Thelypodium sagittatum ssp. ovalifolium,Thelypodium,listed,,,,,G4,,Common name: ovalleaf thelypody,,
Asclepias hallii,Asclepias,listed,,,,,G3,,Common name: Hall’s milkweed,,
Oenothera xylocarpa,Oenothera,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Sierra evening primrose,,
Tamarix aphylla,Tamarix,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: athel tamarix,,
Dudleya arizonica,Dudleya,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: chalk liveforever,,
Pinus monophylla,Pinus,listed,,Nevada State Emblem,,,G5,,NDNH endemism status: Not Evaluated; Common name: singleleaf pinyon pine,,
Boechera schistacea,Boechera,listed,,,,,G3,,Common name: schist rockcress,,
Astragalus straturensis,Astragalus,listed,,,,,G2,,NDNH endemism status: Not Evaluated; Common name: Silver Reef milkvetch,,
Rorippa sphaerocarpa,Rorippa,listed,,,,,G5,,Common name: Round-fruit Yellowcress,,
Linaria vulgaris,Linaria,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: butter and eggs,,
Laphamia gracilis,Laphamia,listed,,,,,G2,,NDNH endemism status: Not Evaluated; Common name: slender rockdaisy,,
Cymopterus cinerarius,Cymopterus,listed,,,,,G3,,Common name: gray wavewing,,
Astragalus lentiginosus var. scorpionis,Astragalus,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: scorpion milkvetch,,
Chylismia munzii,Chylismia,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Death Valley suncup,,
Astragalus mohavensis var. mohavensis,Astragalus,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Mojave milkvetch,,
Astragalus austiniae,Astragalus,listed,,,,,G2,,Common name: Austin milkvetch,,
Linum subteres,Linum,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: sprucemont flax,,
Eriogonum panamintense,Eriogonum,listed,,,,,G3,,Common name: Panamint buckwheat,,
Eriogonum ovalifolium var. eximium,Eriogonum,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: Slide Mountain buckwheat,,
Euphorbia parishii,Euphorbia,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Parish sandmat,,
Euphorbia virgata,Euphorbia,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: leafy spurge,,
Keckiella rothrockii,Keckiella,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: Rothrocks beardtongue,,
Agastache cusickii,Agastache,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Cusick hyssop,,
Lomatium depauperatum,Lomatium,listed,,,,,G4,,Common name: Bonneville Basin biscuitroot,,
Cirsium virginense,Cirsium,listed,,,,,G2,,NDNH endemism status: Not Evaluated; Common name: Virgin River thistle,,
Carex fissuricola,Carex,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: cleft sedge,,
Gaillardia arizonica,Gaillardia,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: Arizona blanketflower,,
Leptosiphon chrysanthus var. decorus,Leptosiphon,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: golden linanthus,,
Fagonia laevis,Fagonia,listed,,,,,G4,,Common name: California Fagonbush,,
Polygonum heterosepalum,Polygonum,listed,,,,,G2,,NDNH endemism status: Not Evaluated; Common name: dwarf desert knotweed,,
Fraxinus dipetala,Fraxinus,listed,,,,,G5,,Common name: California Ash,,
Ericameria nauseosa var. juncea,Ericameria,listed,,,,,G5,,Common name: Rush rabbitbrush,,
Eriogonum ampullaceum,Eriogonum,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Mono buckwheat,,
Cleomella brevipes,Cleomella,listed,,,,,G3,,Common name: Short-pedicelled Cleomella,,
Laphamia palmeri,Laphamia,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: Dixie rockdaisy,,
Potentilla newberryi,Potentilla,listed,,,,,G3,,Common name: Newberrys Cinquefoil,,
Antennaria pulchella,Antennaria,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: beautiful pussytoes,,
Tonestus eximius,Tonestus,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Tahoe goldenheads,,
Carex nardina,Carex,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: Nard sedge,,
Phacelia lutea var. calva,Phacelia,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: Owyhee phacelia,,
Downingia insignis,Downingia,listed,,,,,G4,,Common name: parti-color dowingia,,
Delphinium polycladon,Delphinium,listed,,,,,G2,,NDNH endemism status: Not Evaluated; Common name: mountain marsh larkspur,,
Potentilla recta,Potentilla,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: sulphur cinquefoil,,
Arida arizonica,Arida,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: sand aster,,
Antennaria luzuloides ssp. aberrans,Antennaria,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: rush pussytoes,,
Lepidium latifolium,Lepidium,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: tall whitetop,,
Phlox griseola,Phlox,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: grayleaf phlolx,,
Erythranthe parishii,Erythranthe,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Parishs monkeyflower,,
Oreocarya depressa,Oreocarya,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: dentnut perennial catseye,,
Lathyrus brownii,Lathyrus,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: Browns brush pea,,
Phacelia petrosa,Phacelia,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: rock phacelia,,
Lomatium leptocarpum,Lomatium,listed,,,,,G3,,Common name: Gumbo Lomatium,,
Peganum harmala,Peganum,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: African rue,,
Astragalus gibbsii,Astragalus,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: Gibbs milkvetch,,
Carex holmgreniorum,Carex,listed,,,,,G1,,NDNH endemism status: Not Evaluated; Common name: Holmgrens sedge,,
Boechera davidsonii,Boechera,listed,,,,,G3,,Common name: Davidson rockcress,,
Artemisia tridentata ssp. tridentata,Artemisia,listed,,Nevada State Emblem,,,G5,,NDNH endemism status: Not Evaluated,,
Xanthisma grindelioides var. depressum,Xanthisma,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: rayless tansy aster,,
Astragalus atratus var. owyheensis,Astragalus,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: Owyhee milkvetch,,
Cymopterus gilmanii,Cymopterus,listed,,,,,G3,,Common name: Gilman spring parsley,,
Erigeron watsonii,Erigeron,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Watsons fleabane,,
Eustoma exaltatum,Eustoma,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: catchfly gentian,,
Ivesia setosa,Ivesia,listed,,,,,G3,,Common name: Bristly Ivesia,,
Astragalus kentrophyta var. danaus,Astragalus,listed,,,,,G5,,Common name: Sweetwater Mountains Milkvetch,,
Escobaria vivipara var. rosea,Escobaria,listed,,"Protected (cactus, yucca, or Christmas tree)",,,G5,,Common name: Clokey pincushion,,
Cymopterus ripleyi var. ripleyi,Cymopterus,endemic,,,,,G3,,Common name: Ripley biscuitroot,,
Sisyrinchium funereum,Sisyrinchium,listed,,,,,G2,,Common name: Death Valley blue eyed grass,,
Asclepias rusbyi,Asclepias,listed,,,,,G4,,Common name: Rusby’s milkweed,,
Hymenothrix loomisii,Hymenothrix,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Loomis thimblehead,,
Muhlenbergia utilis,Muhlenbergia,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: aparejo grass,,
Ligusticum porteri,Ligusticum,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Porters Lovage,,
Phacelia barnebyana,Phacelia,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Barneby phacelia,,
Argythamnia cyanophylla,Argythamnia,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: silverbush,,
Yucca jaegeriana,Yucca,listed,Under Review,"Protected (cactus, yucca, or Christmas tree)",,,G3,,NDNH endemism status: Not Evaluated; Common name: eastern Joshua tree,,
Eriogonum glandulosum,Eriogonum,listed,,,,,G2,,NDNH endemism status: Not Evaluated; Common name: acorn buckwheat,,
Ipomopsis congesta ssp. viridis,Ipomopsis,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: Greenleaf ballhead gilia,,
Crepis runcinata var. andersonii,Crepis,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: naked-stem hawksbeard,,
Artemisia packardiae,Artemisia,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Packard mugwort,,
Astragalus convallarius var. finitimus,Astragalus,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: Pine Valley milkvetch,,
Oreocarya hoffmannii,Oreocarya,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Hoffman cryptantha,,
Eremogone congesta var. charlestonensis,Eremogone,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: Mount Charleston sandwort,,
Boechera rigidissima,Boechera,listed,,,,,G3,,Common name: stiff rockcress,,
Thelypodium laxiflorum,Thelypodium,endemic,,,,,G4,,Common name: loose flowered thelypody,,
Bahiopsis reticulata,Bahiopsis,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: netvein goldeneye,,
Lupinus fulcratus,Lupinus,listed,,,,,G3,,Common name: California green-stipule lupine,,
Sorghum halepense,Sorghum,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: johnson grass,,
Cymopterus nivalis,Cymopterus,listed,,,,,G5,,Common name: snow wavewing,,
Canbya aurea,Canbya,listed,,,,,G3,,Common name: Golden Pygmypoppy,,
Calochortus panamintensis,Calochortus,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Panamint mariposa lily,,
Onopordum acanthium,Onopordum,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: Scotch thistle,,
Aliciella ripleyi,Aliciella,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Ripley gilia,,
Hyoscyamus niger,Hyoscyamus,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: black henbane,,
Centaurea solstitialis,Centaurea,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: yellow starthistle,,
Astragalus tephrodes var. chloridae,Astragalus,listed,,,,,G5,,Common name: Chloride milkvetch,,
Oenothera longissima,Oenothera,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: longstem evening primrose,,
Mentzelia pterosperma,Mentzelia,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: wing-seed blazingstar,,
Penstemon floridus var. austinii,Penstemon,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Austin beardtongue,,
Ribes lasianthum,Ribes,listed,,,,,G3,,Common name: Woollyflower Gooseberry,,
Carsonia sparsifolia,Carsonia,listed,,,,,G3,,Common name: Naked Spiderflower,,
Sabulina pusilla,Sabulina,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: dwarf stitchwort,,
Thelypodiopsis vermicularis,Thelypodiopsis,listed,,,,,G3,,Common name: Great Basin Tumblr Mustard,,
Townsendia parryi,Townsendia,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: Parrys townsend daisy,,
Phacelia salina,Phacelia,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: saline phacelia,,
Boechera cusickii,Boechera,listed,,,,,G4,,Common name: Cusick rockcress,,
Oxytropis oreophila,Oxytropis,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: mountain point-vetch,,
Polystichum kruckebergii,Polystichum,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: Kruckebergs swordfern,,
Lathyrus rigidus,Lathyrus,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: rigid peavine,,
Eriogonum kennedyi var. purpusii,Eriogonum,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: Purpus buckwheat,,
Piptatherum shoshoneanum,Piptatherum,listed,,,,,G2,,NDNH endemism status: Not Evaluated; Common name: cliff needlegrass,,
Adiantum aleuticum,Adiantum,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: western maidenhair,,
Cynoglossum officinale,Cynoglossum,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: houndstongue,,
Mentzelia lagarosa,Mentzelia,listed,,,,,G2,,NDNH endemism status: Not Evaluated; Common name: slender-lobed blazingstar,,
Tamarix ramosissima,Tamarix,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: saltcedar,,
Downingia bicornuta var. bicornuta,Downingia,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: double-horn dowingia,,
Ivesia shockleyi var. shockleyi,Ivesia,listed,,,,,G3,,Common name: sky mousetails,,
Alhagi maurorum,Alhagi,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: camelthorn,,
Acroptilon repens,Acroptilon,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: russian knapweed,,
Cirsium arvense,Cirsium,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: canada thistle,,
Artemisia tridentata ssp. vaseyana,Artemisia,listed,,Nevada State Emblem,,,G5,,NDNH endemism status: Not Evaluated,,
Astragalus panamintensis,Astragalus,listed,,,,,G3,,Common name: Panamint milkvetch,,
Physaria newberryi ssp. newberryi,Physaria,listed,,,,,G3,,Common name: Mokiah Pass twinpod,,
Chondrilla juncea,Chondrilla,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: rush skeletonweed,,
Galega officinalis,Galega,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: goats rue,,
Myriophyllum spicatum,Myriophyllum,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: Eurasian water milfoil,,
Rorippa austriaca,Rorippa,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: Austrian fieldcress,,
Pennisetum setaceum,Pennisetum,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: green fountaingrass,,
Erigeron clokeyi var. clokeyi,Erigeron,endemic,,,,,G4,,Common name: Clokey fleabane,,
Sidalcea multifida,Sidalcea,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: cutleaf checker-mallow,,
Boechera fernaldiana ssp. fernaldiana,Boechera,endemic,,,,,G4,,Common name: Fernald rockcress,,
Eriogonum crosbyae var. mystrium,Eriogonum,listed,,,,,G4,,Common name: Pueblo Mountain buckwheat,,
Agave simplex,Agave,listed,,,,,G4,,Common name: desert century plant,,
